complaint_id,product,issue,consumer_complaint_narrative,date_received
COMP-00178,Student loan,Incorrect information on report,My student loan application was denied without explanation. The incorrect information on report has been ongoing for 17 days and I have received no response.,2022-09-14
COMP-00179,Checking account,Incorrect information on report,My checking account application was denied without explanation. The incorrect information on report has been ongoing for 51 days and I have received no response.,2023-04-23
COMP-00180,Checking account,Closing account,I have been trying to resolve this closing account for 23 days. The checking account department keeps transferring me without helping.,2021-01-09
COMP-00181,Checking account,Closing account,The interest rate on my checking account was changed without notice. This closing account is causing significant financial hardship.,2020-03-11
COMP-00182,Auto loan,Incorrect information on report,I was charged an unexpected fee of $211 on my auto loan account. I called customer service and waited 55 minutes but got no resolution.,2021-10-15
COMP-00183,Debt collection,Closing account,My debt collection application was denied without explanation. The closing account has been ongoing for 55 days and I have received no response.,2024-04-14
COMP-00184,Checking account,Incorrect information on report,Unauthorized charges appeared on my checking account. I reported the incorrect information on report but the company refused to investigate properly.,2024-10-31
COMP-00185,Student loan,Fraud or scam,The interest rate on my student loan was changed without notice. This fraud or scam is causing significant financial hardship.,2022-07-29
COMP-00186,Auto loan,Incorrect information on report,Unauthorized charges appeared on my auto loan. I reported the incorrect information on report but the company refused to investigate properly.,2023-11-09
COMP-00187,Checking account,Account access issues,The interest rate on my checking account was changed without notice. This account access issues is causing significant financial hardship.,2024-07-17
COMP-00188,Auto loan,Fraud or scam,I have been trying to resolve this fraud or scam for 22 days. The auto loan department keeps transferring me without helping.,2022-12-05
COMP-00189,Auto loan,Closing account,Unauthorized charges appeared on my auto loan. I reported the closing account but the company refused to investigate properly.,2022-03-21
COMP-00190,Money transfer,Fraud or scam,I have been trying to resolve this fraud or scam for 61 days. The money transfer department keeps transferring me without helping.,2021-04-21
COMP-00191,Debt collection,Fraud or scam,Unauthorized charges appeared on my debt collection. I reported the fraud or scam but the company refused to investigate properly.,2022-07-30
COMP-00192,Debt collection,Unauthorized transactions,I was charged an unexpected fee of $142 on my debt collection account. I called customer service and waited 36 minutes but got no resolution.,2022-02-11
COMP-00193,Student loan,Managing account,My student loan application was denied without explanation. The managing account has been ongoing for 65 days and I have received no response.,2024-03-18
COMP-00194,Credit card,Problem with payment,The interest rate on my credit card was changed without notice. This problem with payment is causing significant financial hardship.,2020-07-10
COMP-00195,Debt collection,Managing account,The interest rate on my debt collection was changed without notice. This managing account is causing significant financial hardship.,2022-11-02
COMP-00196,Mortgage,Incorrect information on report,I was charged an unexpected fee of $246 on my mortgage account. I called customer service and waited 79 minutes but got no resolution.,2024-11-04
COMP-00197,Mortgage,Unauthorized transactions,I have been trying to resolve this unauthorized transactions for 13 days. The mortgage department keeps transferring me without helping.,2022-01-10
COMP-00198,Money transfer,Billing disputes,The interest rate on my money transfer was changed without notice. This billing disputes is causing significant financial hardship.,2023-06-28
COMP-00199,Auto loan,Managing account,I have been trying to resolve this managing account for 88 days. The auto loan department keeps transferring me without helping.,2024-10-26
COMP-00200,Money transfer,Account access issues,I was charged an unexpected fee of $415 on my money transfer account. I called customer service and waited 97 minutes but got no resolution.,2022-01-25
COMP-00201,Personal loan,Account access issues,My personal loan application was denied without explanation. The account access issues has been ongoing for 50 days and I have received no response.,2023-03-30
COMP-00202,Auto loan,Billing disputes,I have been trying to resolve this billing disputes for 6 days. The auto loan department keeps transferring me without helping.,2020-02-22
COMP-00203,Money transfer,Incorrect information on report,My money transfer application was denied without explanation. The incorrect information on report has been ongoing for 88 days and I have received no response.,2020-02-21
COMP-00204,Money transfer,Closing account,The interest rate on my money transfer was changed without notice. This closing account is causing significant financial hardship.,2022-10-19
COMP-00205,Student loan,Problem with payment,I have been trying to resolve this problem with payment for 29 days. The student loan department keeps transferring me without helping.,2020-04-20
COMP-00206,Personal loan,Account access issues,I have been trying to resolve this account access issues for 28 days. The personal loan department keeps transferring me without helping.,2022-04-28
COMP-00207,Personal loan,Managing account,I was charged an unexpected fee of $402 on my personal loan account. I called customer service and waited 106 minutes but got no resolution.,2023-08-05
COMP-00208,Debt collection,Closing account,I was charged an unexpected fee of $278 on my debt collection account. I called customer service and waited 61 minutes but got no resolution.,2020-08-02
COMP-00209,Mortgage,Fraud or scam,The interest rate on my mortgage was changed without notice. This fraud or scam is causing significant financial hardship.,2024-06-12
COMP-00210,Credit card,Account access issues,I have been trying to resolve this account access issues for 56 days. The credit card department keeps transferring me without helping.,2020-04-19
